time,"I(LQ|XSSA1)"
1.746800e-09,-4.029034e-07
1.747000e-09,-4.336689e-07
1.747200e-09,-4.212281e-07
1.747400e-09,-3.656485e-07
1.747600e-09,-2.710111e-07
1.747800e-09,-1.451984e-07
1.748000e-09,6.960630e-10
1.748200e-09,1.532990e-07
1.748400e-09,2.981554e-07
1.748600e-09,4.210863e-07
1.748800e-09,5.095795e-07
1.749000e-09,5.540736e-07
1.749200e-09,5.490005e-07
1.749400e-09,4.934695e-07
1.749600e-09,3.915074e-07
1.749800e-09,2.518097e-07
1.750000e-09,8.701086e-08
1.750200e-09,-8.748686e-08
1.750400e-09,-2.549711e-07
1.750600e-09,-3.990953e-07
1.750800e-09,-5.055430e-07
1.751000e-09,-5.635346e-07
1.751200e-09,-5.669908e-07
1.751400e-09,-5.152661e-07
1.751600e-09,-4.132867e-07
1.751800e-09,-2.711243e-07
1.752000e-09,-1.030056e-07
1.752200e-09,7.414053e-08
1.752400e-09,2.424515e-07
1.752600e-09,3.850224e-07
1.752800e-09,4.877132e-07
1.753000e-09,5.406645e-07
1.753200e-09,5.393443e-07
1.753400e-09,4.850009e-07
1.753600e-09,3.844642e-07
1.753800e-09,2.493162e-07
1.754000e-09,9.452664e-08
1.754200e-09,-6.328296e-08
1.754400e-09,-2.077388e-07
1.754600e-09,-3.245459e-07
1.754800e-09,-4.030261e-07
1.755000e-09,-4.371767e-07
1.755200e-09,-4.261240e-07
1.755400e-09,-3.739278e-07
1.755600e-09,-2.887807e-07
1.755800e-09,-1.817243e-07
1.756000e-09,-6.507062e-08
1.756200e-09,4.924921e-08
1.756400e-09,1.511769e-07
1.756600e-09,2.336578e-07
1.756800e-09,2.932626e-07
1.757000e-09,3.302320e-07
1.757200e-09,3.479642e-07
1.757400e-09,3.520485e-07
1.757600e-09,3.490165e-07
1.757800e-09,3.450204e-07
1.758000e-09,3.446564e-07
1.758200e-09,3.501251e-07
1.758400e-09,3.608650e-07
1.758600e-09,3.737163e-07
1.758800e-09,3.835873e-07
1.759000e-09,3.845127e-07
1.759200e-09,3.709273e-07
1.759400e-09,3.389426e-07
1.759600e-09,2.874105e-07
1.759800e-09,2.185887e-07
1.760000e-09,1.382832e-07
1.760200e-09,5.542393e-08
1.760400e-09,-1.888409e-08
1.760600e-09,-7.270782e-08
1.760800e-09,-9.484328e-08
1.761000e-09,-7.635919e-08
1.761200e-09,-1.190194e-08
1.761400e-09,9.943104e-08
1.761600e-09,2.537820e-07
1.761800e-09,4.428403e-07
1.762000e-09,6.547317e-07
1.762200e-09,8.753739e-07
1.762400e-09,1.090118e-06
1.762600e-09,1.285459e-06
1.762800e-09,1.450588e-06
1.763000e-09,1.578593e-06
1.763200e-09,1.667150e-06
1.763400e-09,1.718641e-06
1.763600e-09,1.739686e-06
1.763800e-09,1.740185e-06
1.764000e-09,1.731999e-06
1.764200e-09,1.727463e-06
1.764400e-09,1.737924e-06
1.764600e-09,1.772498e-06
1.764800e-09,1.837195e-06
1.765000e-09,1.934509e-06
1.765200e-09,2.063506e-06
1.765400e-09,2.220377e-06
1.765600e-09,2.399362e-06
1.765800e-09,2.593910e-06
1.766000e-09,2.797913e-06
1.766200e-09,3.006855e-06
1.766400e-09,3.218725e-06
1.766600e-09,3.434594e-06
1.766800e-09,3.658806e-06
1.767000e-09,3.898760e-06
1.767200e-09,4.164360e-06
1.767400e-09,4.467211e-06
1.767600e-09,4.819698e-06
1.767800e-09,5.234073e-06
