time,"I(LQ|XBFR1)"
1.674000e-10,-3.304984e-06
1.676000e-10,-3.305184e-06
1.678000e-10,-3.304991e-06
1.680000e-10,-3.304297e-06
1.682000e-10,-3.303088e-06
1.684000e-10,-3.301439e-06
1.686000e-10,-3.299494e-06
1.688000e-10,-3.297442e-06
1.690000e-10,-3.295482e-06
1.692000e-10,-3.293793e-06
1.694000e-10,-3.292503e-06
1.696000e-10,-3.291670e-06
1.698000e-10,-3.291266e-06
1.700000e-10,-3.291189e-06
1.702000e-10,-3.291273e-06
1.704000e-10,-3.291321e-06
1.706000e-10,-3.291140e-06
1.708000e-10,-3.290580e-06
1.710000e-10,-3.289561e-06
1.712000e-10,-3.288093e-06
1.714000e-10,-3.286272e-06
1.716000e-10,-3.284264e-06
1.718000e-10,-3.282271e-06
1.720000e-10,-3.280488e-06
1.722000e-10,-3.279057e-06
1.724000e-10,-3.278043e-06
1.726000e-10,-3.277412e-06
1.728000e-10,-3.277037e-06
1.730000e-10,-3.276733e-06
1.732000e-10,-3.276288e-06
1.734000e-10,-3.275516e-06
1.736000e-10,-3.274298e-06
1.738000e-10,-3.272606e-06
1.740000e-10,-3.270510e-06
1.742000e-10,-3.268161e-06
1.744000e-10,-3.265754e-06
1.746000e-10,-3.263485e-06
1.748000e-10,-3.261502e-06
1.750000e-10,-3.259873e-06
1.752000e-10,-3.258573e-06
1.754000e-10,-3.257487e-06
1.756000e-10,-3.256443e-06
1.758000e-10,-3.255251e-06
1.760000e-10,-3.253746e-06
1.762000e-10,-3.251829e-06
1.764000e-10,-3.249485e-06
1.766000e-10,-3.246786e-06
1.768000e-10,-3.243870e-06
1.770000e-10,-3.240906e-06
1.772000e-10,-3.238055e-06
1.774000e-10,-3.235427e-06
1.776000e-10,-3.233064e-06
1.778000e-10,-3.230925e-06
1.780000e-10,-3.228903e-06
1.782000e-10,-3.226851e-06
1.784000e-10,-3.224621e-06
1.786000e-10,-3.222095e-06
1.788000e-10,-3.219213e-06
1.790000e-10,-3.215986e-06
1.792000e-10,-3.212489e-06
1.794000e-10,-3.208839e-06
1.796000e-10,-3.205166e-06
1.798000e-10,-3.201580e-06
1.800000e-10,-3.198149e-06
1.802000e-10,-3.194880e-06
1.804000e-10,-3.191723e-06
1.806000e-10,-3.188585e-06
1.808000e-10,-3.185356e-06
1.810000e-10,-3.181933e-06
1.812000e-10,-3.178246e-06
1.814000e-10,-3.174275e-06
1.816000e-10,-3.170044e-06
1.818000e-10,-3.165623e-06
1.820000e-10,-3.161100e-06
1.822000e-10,-3.156562e-06
