time,"V(B11|XBFR1)","V(B21|XBFR1)","I(B11|XBFR1)","I(B21|XBFR1)"
4.260000e-11,1.693959e-07,2.470379e-07,-4.784254e-05,4.497937e-05
4.280000e-11,-5.562346e-06,-5.119432e-06,-4.778404e-05,4.501153e-05
4.300000e-11,-1.014355e-05,-9.543063e-06,-4.763464e-05,4.511169e-05
4.320000e-11,-1.292749e-05,-1.239031e-05,-4.742647e-05,4.526732e-05
4.340000e-11,-1.360226e-05,-1.325992e-05,-4.719726e-05,4.545602e-05
4.360000e-11,-1.220070e-05,-1.205732e-05,-4.698260e-05,4.564756e-05
4.380000e-11,-9.053762e-06,-9.023066e-06,-4.681110e-05,4.580931e-05
4.400000e-11,-4.712450e-06,-4.697422e-06,-4.670260e-05,4.591353e-05
4.420000e-11,1.413862e-07,1.785633e-07,-4.666814e-05,4.594406e-05
4.440000e-11,4.785337e-06,4.803483e-06,-4.671007e-05,4.589961e-05
4.460000e-11,8.546185e-06,8.461838e-06,-4.682160e-05,4.579294e-05
4.480000e-11,1.088801e-05,1.064090e-05,-4.698640e-05,4.564645e-05
4.500000e-11,1.149131e-05,1.109603e-05,-4.717935e-05,4.548626e-05
4.520000e-11,1.030805e-05,9.860589e-06,-4.736965e-05,4.533701e-05
4.540000e-11,7.575226e-06,7.211682e-06,-4.752619e-05,4.521860e-05
4.560000e-11,3.776283e-06,3.608757e-06,-4.762379e-05,4.514493e-05
4.580000e-11,-4.463437e-07,-3.801555e-07,-4.764850e-05,4.512369e-05
4.600000e-11,-4.408826e-06,-4.156262e-06,-4.760003e-05,4.515627e-05
4.620000e-11,-7.505982e-06,-7.168250e-06,-4.749082e-05,4.523743e-05
4.640000e-11,-9.306996e-06,-8.987194e-06,-4.734233e-05,4.535505e-05
4.660000e-11,-9.609934e-06,-9.370176e-06,-4.718002e-05,4.549094e-05
4.680000e-11,-8.451629e-06,-8.300409e-06,-4.702874e-05,4.562327e-05
4.700000e-11,-6.080476e-06,-5.991698e-06,-4.690933e-05,4.573038e-05
4.720000e-11,-2.904465e-06,-2.851339e-06,-4.683678e-05,4.579527e-05
4.740000e-11,5.741289e-07,5.935786e-07,-4.681924e-05,4.580895e-05
4.760000e-11,3.829714e-06,3.790837e-06,-4.685752e-05,4.577201e-05
4.780000e-11,6.384874e-06,6.257397e-06,-4.694492e-05,4.569367e-05
4.800000e-11,7.876921e-06,7.653595e-06,-4.706759e-05,4.558908e-05
4.820000e-11,8.111470e-06,7.825176e-06,-4.720605e-05,4.547594e-05
4.840000e-11,7.092922e-06,6.810793e-06,-4.733812e-05,4.537130e-05
4.860000e-11,5.023129e-06,4.820426e-06,-4.744274e-05,4.528945e-05
4.880000e-11,2.265283e-06,2.193531e-06,-4.750394e-05,4.524064e-05
4.900000e-11,-7.213296e-07,-6.547074e-07,-4.751377e-05,4.523041e-05
4.920000e-11,-3.462197e-06,-3.292755e-06,-4.747342e-05,4.525920e-05
4.940000e-11,-5.546716e-06,-5.332775e-06,-4.739226e-05,4.532210e-05
4.960000e-11,-6.689972e-06,-6.485749e-06,-4.728539e-05,4.540913e-05
4.980000e-11,-6.767663e-06,-6.604335e-06,-4.717052e-05,4.550641e-05
5.000000e-11,-5.822174e-06,-5.705278e-06,-4.706495e-05,4.559825e-05
5.020000e-11,-4.043840e-06,-3.965125e-06,-4.698339e-05,4.566995e-05
5.040000e-11,-1.734249e-06,-1.688047e-06,-4.693634e-05,4.571060e-05
5.060000e-11,7.414885e-07,7.487106e-07,-4.692924e-05,4.571509e-05
