time,"I(LOUT)","I(LIN|XOUT)","I(LA|XAND)","I(LB|XAND)","I(LC|XAND)"
3.860000e-11,1.051908e-06,-2.841332e-07,-6.057038e-07,9.272745e-07,-6.057038e-07
3.880000e-11,1.198671e-06,-4.912119e-07,-7.441696e-07,9.971273e-07,-7.441696e-07
3.900000e-11,1.156892e-06,-5.921050e-07,-8.780402e-07,1.163975e-06,-8.780402e-07
3.920000e-11,9.362115e-07,-5.864818e-07,-9.905417e-07,1.394602e-06,-9.905417e-07
3.940000e-11,5.733898e-07,-4.968056e-07,-1.071766e-06,1.646727e-06,-1.071766e-06
3.960000e-11,1.257236e-07,-3.610461e-07,-1.118993e-06,1.876941e-06,-1.118993e-06
3.980000e-11,-3.385379e-07,-2.229140e-07,-1.135648e-06,2.048382e-06,-1.135648e-06
4.000000e-11,-7.511720e-07,-1.216790e-07,-1.129236e-06,2.136792e-06,-1.129236e-06
4.020000e-11,-1.054510e-06,-8.369242e-08,-1.108816e-06,2.133940e-06,-1.108816e-06
4.040000e-11,-1.209760e-06,-1.173462e-07,-1.082636e-06,2.047926e-06,-1.082636e-06
4.060000e-11,-1.201870e-06,-2.123508e-07,-1.056434e-06,1.900517e-06,-1.056434e-06
4.080000e-11,-1.040391e-06,-3.431536e-07,-1.032684e-06,1.722214e-06,-1.032684e-06
4.100000e-11,-7.565475e-07,-4.754165e-07,-1.010781e-06,1.546146e-06,-1.010781e-06
4.120000e-11,-3.972616e-07,-5.739784e-07,-9.879761e-07,1.401974e-06,-9.879761e-07
4.140000e-11,-1.723826e-08,-6.106340e-07,-9.607684e-07,1.310903e-06,-9.607684e-07
4.160000e-11,3.295903e-07,-5.702379e-07,-9.264241e-07,1.282610e-06,-9.264241e-07
4.180000e-11,5.978986e-07,-4.539942e-07,-8.842530e-07,1.314512e-06,-8.842530e-07
4.200000e-11,7.568931e-07,-2.793236e-07,-8.363442e-07,1.393365e-06,-8.363442e-07
4.220000e-11,7.935406e-07,-7.639361e-08,-7.875766e-07,1.498760e-06,-7.875766e-07
4.240000e-11,7.128549e-07,1.178938e-07,-7.448996e-07,1.607693e-06,-7.448996e-07
4.260000e-11,5.355158e-07,2.671436e-07,-7.160495e-07,1.699243e-06,-7.160495e-07
4.280000e-11,2.934704e-07,3.424504e-07,-7.079782e-07,1.758407e-06,-7.079782e-07
4.300000e-11,2.436802e-08,3.278001e-07,-7.253151e-07,1.778430e-06,-7.253151e-07
4.320000e-11,-2.342495e-07,2.229607e-07,-7.691662e-07,1.761293e-06,-7.691662e-07
4.340000e-11,-4.501283e-07,4.343177e-08,-8.364951e-07,1.716422e-06,-8.364951e-07
4.360000e-11,-6.001455e-07,-1.824413e-07,-9.202316e-07,1.658022e-06,-9.202316e-07
4.380000e-11,-6.723847e-07,-4.185832e-07,-1.010121e-06,1.601658e-06,-1.010121e-06
4.400000e-11,-6.663579e-07,-6.275346e-07,-1.094181e-06,1.560827e-06,-1.094181e-06
4.420000e-11,-5.916006e-07,-7.768352e-07,-1.160523e-06,1.544211e-06,-1.160523e-06
4.440000e-11,-4.650880e-07,-8.443070e-07,-1.199211e-06,1.554115e-06,-1.199211e-06
4.460000e-11,-3.080177e-07,-8.213684e-07,-1.203863e-06,1.586357e-06,-1.203863e-06
4.480000e-11,-1.425029e-07,-7.139140e-07,-1.172721e-06,1.631529e-06,-1.172721e-06
