time,"I(LIN|XBFR1)","I(LQ|XBFR1)","I(LIN|XBFR2)","I(LQ|XBFR2)","I(LIN|XBFR3)","I(LQ|XBFR3)","I(LIN|XBFR4)","I(LQ|XBFR4)"
2.720000e-11,-5.085149e-06,-8.406080e-06,-4.471507e-07,-1.387356e-05,-3.531695e-06,-8.048421e-06,-2.354619e-06,-2.704747e-06
2.740000e-11,-5.093954e-06,-6.430055e-06,-5.177995e-07,-9.712041e-06,-2.559295e-06,-5.163473e-06,-1.506319e-06,-1.639802e-06
2.760000e-11,-5.095627e-06,-4.551973e-06,-7.538329e-07,-4.729543e-06,-1.347065e-06,-1.986717e-06,-5.614644e-07,-5.459928e-07
2.780000e-11,-5.090567e-06,-2.837567e-06,-1.083524e-06,5.114130e-07,-4.726160e-08,1.206240e-06,3.914956e-07,5.292845e-07
2.800000e-11,-5.079488e-06,-1.322471e-06,-1.421901e-06,5.423508e-06,1.177421e-06,4.151715e-06,1.267641e-06,1.542866e-06
2.820000e-11,-5.063364e-06,-3.032454e-08,-1.689686e-06,9.477345e-06,2.179656e-06,6.617663e-06,1.992734e-06,2.453156e-06
2.840000e-11,-5.043377e-06,1.012503e-06,-1.828663e-06,1.226851e-05,2.848397e-06,8.419572e-06,2.508917e-06,3.218469e-06
2.860000e-11,-5.020861e-06,1.769972e-06,-1.810151e-06,1.355639e-05,3.120632e-06,9.431828e-06,2.778643e-06,3.796909e-06
2.880000e-11,-4.997245e-06,2.196705e-06,-1.636937e-06,1.327610e-05,2.984472e-06,9.594358e-06,2.786741e-06,4.148014e-06
2.900000e-11,-4.974012e-06,2.242966e-06,-1.340869e-06,1.153241e-05,2.476575e-06,8.914896e-06,2.540733e-06,4.236141e-06
2.920000e-11,-4.952676e-06,1.862728e-06,-9.775631e-07,8.582138e-06,1.676073e-06,7.467385e-06,2.069622e-06,4.035332e-06
2.940000e-11,-4.934750e-06,1.025062e-06,-6.180568e-07,4.804145e-06,6.947258e-07,5.386760e-06,1.421317e-06,3.535041e-06
2.980000e-11,-4.914634e-06,-1.982858e-06,-1.976017e-07,-3.399763e-06,-1.293312e-06,1.105672e-07,-1.458797e-07,1.702993e-06
3.000000e-11,-4.914436e-06,-4.012193e-06,-2.398575e-07,-6.932209e-06,-2.063540e-06,-2.617048e-06,-9.169816e-07,4.692557e-07
3.020000e-11,-4.921298e-06,-6.208391e-06,-4.710392e-07,-9.619807e-06,-2.575283e-06,-5.082486e-06,-1.583663e-06,-8.681089e-07
3.040000e-11,-4.934814e-06,-8.379743e-06,-8.654930e-07,-1.126531e-05,-2.796284e-06,-7.070499e-06,-2.086393e-06,-2.202067e-06
3.060000e-11,-4.953986e-06,-1.031464e-05,-1.369840e-06,-1.180364e-05,-2.733835e-06,-8.411401e-06,-2.382838e-06,-3.414526e-06
3.080000e-11,-4.977314e-06,-1.180601e-05,-1.912053e-06,-1.129067e-05,-2.428209e-06,-8.996394e-06,-2.451629e-06,-4.387443e-06
3.100000e-11,-5.002912e-06,-1.267544e-05,-2.412038e-06,-9.882681e-06,-1.943660e-06,-8.786952e-06,-2.293876e-06,-5.015374e-06
3.120000e-11,-5.028621e-06,-1.279553e-05,-2.792715e-06,-7.809970e-06,-1.358284e-06,-7.818042e-06,-1.932557e-06,-5.218126e-06
3.140000e-11,-5.052136e-06,-1.210949e-05,-2.991228e-06,-5.345297e-06,-7.530553e-07,-6.195130e-06,-1.409959e-06,-4.951938e-06
3.160000e-11,-5.071190e-06,-1.064583e-05,-2.969349e-06,-2.768751e-06,-2.006945e-07,-4.084687e-06,-7.833053e-07,-4.217580e-06
3.180000e-11,-5.083801e-06,-8.524233e-06,-2.721051e-06,-3.337931e-07,2.439038e-07,-1.698091e-06,-1.187129e-07,-3.064015e-06
3.200000e-11,-5.088546e-06,-5.948510e-06,-2.274945e-06,1.759120e-06,5.495646e-07,7.302270e-07,5.161036e-07,-1.586712e-06
3.220000e-11,-5.084805e-06,-3.185453e-06,-1.690363e-06,3.376671e-06,7.097739e-07,2.967962e-06,1.059507e-06,7.965826e-08
3.240000e-11,-5.072881e-06,-5.323422e-07,-1.047776e-06,4.454053e-06,7.390238e-07,4.809796e-06,1.462795e-06,1.773717e-06
3.260000e-11,-5.053981e-06,1.720848e-06,-4.358803e-07,4.986579e-06,6.661867e-07,6.098188e-06,1.695107e-06,3.323905e-06
3.280000e-11,-5.030050e-06,3.327735e-06,6.188864e-08,5.015802e-06,5.268542e-07,6.737429e-06,1.745710e-06,4.567219e-06
3.300000e-11,-5.003533e-06,4.115093e-06,3.791703e-07,4.613734e-06,3.561266e-07,6.699956e-06,1.623626e-06,5.367880e-06
3.320000e-11,-4.977108e-06,4.002754e-06,4.754988e-07,3.867591e-06,1.827585e-07,6.025209e-06,1.355025e-06,5.633578e-06
3.340000e-11,-4.953418e-06,3.012542e-06,3.414055e-07,2.866870e-06,2.525385e-08,4.811922e-06,9.789642e-07,5.327252e-06
3.360000e-11,-4.934813e-06,1.265486e-06,-7.019852e-10,1.694353e-06,-1.096193e-07,3.204873e-06,5.420271e-07,4.472913e-06
3.380000e-11,-4.923089e-06,-1.032993e-06,-5.002007e-07,4.221129e-07,-2.256666e-07,1.377390e-06,9.243786e-08,3.154658e-06
3.400000e-11,-4.919274e-06,-3.619013e-06,-1.086210e-06,-8.875725e-07,-3.337530e-07,-4.884915e-07,-3.256860e-07,1.508682e-06
3.420000e-11,-4.923498e-06,-6.204078e-06,-1.678660e-06,-2.177942e-06,-4.468587e-07,-2.221646e-06,-6.771199e-07,-2.911571e-07
3.440000e-11,-4.935002e-06,-8.511381e-06,-2.200403e-06,-3.392574e-06,-5.750161e-07,-3.678483e-06,-9.386071e-07,-2.052779e-06
