time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|XBS)","I(LQ|XBC)"
2.860000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.311345e-07,2.194877e-06
2.880000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.138917e-06,-1.035480e-06
2.900000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.286197e-06,-4.147500e-06
2.920000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-6.736644e-06,-6.794738e-06
2.940000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-7.352631e-06,-8.681216e-06
2.980000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-6.059545e-06,-9.429870e-06
3.000000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.378366e-06,-8.202805e-06
3.020000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.280787e-06,-6.051102e-06
3.040000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.377055e-08,-3.222265e-06
3.060000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.130418e-06,-4.675610e-08
3.080000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.943936e-06,3.101485e-06
3.100000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.228063e-06,5.851683e-06
3.120000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.860153e-06,7.882504e-06
3.140000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.792281e-06,8.961052e-06
3.160000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.052507e-06,8.970119e-06
3.180000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.739777e-06,7.921581e-06
3.200000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.012781e-06,5.955012e-06
3.220000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,7.294964e-08,3.321026e-06
3.240000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.857437e-06,3.499529e-07
3.260000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.559706e-06,-2.591019e-06
3.280000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.842773e-06,-5.146079e-06
3.300000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.563909e-06,-7.016541e-06
3.320000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.644460e-06,-7.997087e-06
3.340000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.079290e-06,-7.998196e-06
3.360000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.938833e-06,-7.053317e-06
3.380000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.362674e-06,-5.311076e-06
3.400000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-5.442932e-07,-3.013617e-06
3.420000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.291930e-06,-4.632361e-07
3.440000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.918630e-06,2.018660e-06
3.460000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.134398e-06,4.134179e-06
3.480000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.789760e-06,5.646368e-06
3.500000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.806833e-06,6.405959e-06
3.520000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.190128e-06,6.364702e-06
3.540000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.026859e-06,5.575061e-06
3.560000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.476094e-06,4.177670e-06
3.580000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.523626e-07,2.378642e-06
3.600000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.926749e-06,4.196823e-07
3.620000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.325552e-06,-1.454969e-06
3.640000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.268206e-06,-3.029891e-06
3.660000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.639700e-06,-4.143475e-06
3.680000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.405644e-06,-4.703426e-06
3.700000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.615862e-06,-4.691718e-06
3.720000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.396089e-06,-4.159746e-06
3.740000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-9.288330e-07,-3.215447e-06
3.760000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.739231e-07,-2.004704e-06
3.780000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.902080e-06,-6.897635e-07
3.800000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.877894e-06,5.723151e-07
3.820000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.380754e-06,1.648166e-06
3.840000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.362627e-06,2.441265e-06
3.860000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.852248e-06,2.898555e-06
3.880000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.947890e-06,3.010649e-06
3.900000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.001459e-07,2.806649e-06
